Distance from start(meters),elevation(meters),accumulated ascent(meters),accumulated descent(meters)
0.0,255.81,0,0
51.68,244.44,0,0.0
51.68,244.44,0,-11.37
217.56,254.64,0,-11.37
217.56,254.64,10.2,-11.37
241.26,251.44,10.2,-11.37
241.26,251.44,10.2,-14.57
264.44,248.69,10.2,-14.57
264.44,248.69,10.2,-17.32
998.46,240.62,10.2,-17.32
998.46,240.62,10.2,-25.39
1354.34,247.4,10.2,-25.39
1354.34,247.4,16.98,-25.39
1560.0,230.41,16.98,-25.39
1560.0,230.41,16.98,-42.38
1868.36,230.08,16.98,-42.38
1868.36,230.08,16.98,-42.71
2186.02,227.32,16.98,-42.71
2186.02,227.32,16.98,-45.47
2672.64,227.88,16.98,-45.47
2672.64,227.88,17.54,-45.47
2761.33,223.49,17.54,-45.47
2761.33,223.49,17.54,-49.86
3742.96,226.43,17.54,-49.86
3742.96,226.43,20.48,-49.86
4425.74,226.43,20.48,-49.86
4425.74,226.43,20.48,-49.86
4995.89,216.27,20.48,-49.86
4995.89,216.27,20.48,-60.02
5316.12,223.33,20.48,-60.02
5316.12,223.33,27.54,-60.02
5530.57,222.99,27.54,-60.02
5530.57,222.99,27.54,-60.36
5955.62,232.18,27.54,-60.36
5955.62,232.18,36.73,-60.36
6239.14,225.74,36.73,-60.36
6239.14,225.74,36.73,-66.8
6282.84,224.63,36.73,-66.8
6282.84,224.63,36.73,-67.91
6405.86,226.32,36.73,-67.91
6405.86,226.32,38.42,-67.91
6608.21,232.76,38.42,-67.91
6608.21,232.76,44.86,-67.91
6840.65,236.25,44.86,-67.91
6840.65,236.25,48.35,-67.91
7007.13,236.74,48.35,-67.91
7007.13,236.74,48.84,-67.91
7176.18,235.11,48.84,-67.91
7176.18,235.11,48.84,-69.54
7330.55,232.34,48.84,-69.54
7330.55,232.34,48.84,-72.31
7587.71,224.91,48.84,-72.31
7587.71,224.91,48.84,-79.74
7751.36,227.27,48.84,-79.74
7751.36,227.27,51.2,-79.74
7980.62,224.53,51.2,-79.74
7980.62,224.53,51.2,-82.48
8271.42,220.94,51.2,-82.48
8271.42,220.94,51.2,-86.07
8381.06,220.89,51.2,-86.07
8381.06,220.89,51.2,-86.12
8884.72,216.0,51.2,-86.12
8884.72,216.0,51.2,-91.01
8989.44,216.0,51.2,-91.01
8989.44,216.0,51.2,-91.01
9112.84,216.3,51.2,-91.01
9112.84,216.3,51.5,-91.01
9218.83,218.15,51.5,-91.01
9218.83,218.15,53.35,-91.01
9281.8,221.25,53.35,-91.01
9281.8,221.25,56.45,-91.01
9388.63,221.37,56.45,-91.01
9388.63,221.37,56.57,-91.01
9498.64,216.79,56.57,-91.01
9498.64,216.79,56.57,-95.59
9597.26,217.94,56.57,-95.59
9597.26,217.94,57.72,-95.59
9727.34,220.02,57.72,-95.59
9727.34,220.02,59.8,-95.59
9803.45,219.79,59.8,-95.59
9803.45,219.79,59.8,-95.82
9940.02,223.71,59.8,-95.82
9940.02,223.71,63.72,-95.82
10031.6,223.54,63.72,-95.82
10031.6,223.54,63.72,-95.99
10124.85,222.77,63.72,-95.99
10124.85,222.77,63.72,-96.76
10258.72,225.38,63.72,-96.76
10258.72,225.38,66.33,-96.76
10350.2,223.16,66.33,-96.76
10350.2,223.16,66.33,-98.98
11084.17,232.67,66.33,-98.98
11084.17,232.67,75.84,-98.98
11149.05,229.37,75.84,-98.98
11149.05,229.37,75.84,-102.28
11466.81,224.38,75.84,-102.28
11466.81,224.38,75.84,-107.27
11715.59,229.0,75.84,-107.27
11715.59,229.0,80.46,-107.27
11820.57,225.61,80.46,-107.27
11820.57,225.61,80.46,-110.66
12054.3,228.93,80.46,-110.66
12054.3,228.93,83.78,-110.66
12196.53,237.95,83.78,-110.66
12196.53,237.95,92.8,-110.66
12251.87,248.62,92.8,-110.66
12251.87,248.62,103.47,-110.66
12300.89,256.85,103.47,-110.66
12300.89,256.85,111.7,-110.66
12368.52,247.93,111.7,-110.66
12368.52,247.93,111.7,-119.58
12429.28,248.76,111.7,-119.58
12429.28,248.76,112.53,-119.58
12454.01,248.0,112.53,-119.58
12454.01,248.0,112.53,-120.34
12660.68,286.36,112.53,-120.34
12660.68,286.36,150.89,-120.34
12727.08,280.89,150.89,-120.34
12727.08,280.89,150.89,-125.81
13077.26,257.84,150.89,-125.81
13077.26,257.84,150.89,-148.86
13274.01,255.22,150.89,-148.86
13274.01,255.22,150.89,-151.48
13579.11,270.34,150.89,-151.48
13579.11,270.34,166.01,-151.48
13884.81,270.42,166.01,-151.48
13884.81,270.42,166.09,-151.48
14095.07,274.61,166.09,-151.48
14095.07,274.61,170.28,-151.48
14222.36,270.79,170.28,-151.48
14222.36,270.79,170.28,-155.3
14339.7,265.43,170.28,-155.3
14339.7,265.43,170.28,-160.66
14453.04,256.42,170.28,-160.66
14453.04,256.42,170.28,-169.67
14551.59,263.12,170.28,-169.67
14551.59,263.12,176.98,-169.67
14649.6,263.24,176.98,-169.67
14649.6,263.24,177.1,-169.67
14742.17,265.63,177.1,-169.67
14742.17,265.63,179.49,-169.67
14879.08,261.74,179.49,-169.67
14879.08,261.74,179.49,-173.56
15146.98,260.21,179.49,-173.56
15146.98,260.21,179.49,-175.09
15384.77,257.02,179.49,-175.09
15384.77,257.02,179.49,-178.28
15731.48,267.36,179.49,-178.28
15731.48,267.36,189.83,-178.28
15819.96,258.84,189.83,-178.28
15819.96,258.84,189.83,-186.8
16551.36,229.0,189.83,-186.8
16551.36,229.0,189.83,-216.64
16817.45,231.1,189.83,-216.64
16817.45,231.1,191.93,-216.64
17256.39,230.25,191.93,-216.64
17256.39,230.25,191.93,-217.49
17530.09,229.72,191.93,-217.49
17530.09,229.72,191.93,-218.02
17679.28,228.98,191.93,-218.02
17679.28,228.98,191.93,-218.76
17860.63,224.75,191.93,-218.76
17860.63,224.75,191.93,-222.99
18382.86,219.16,191.93,-222.99
18382.86,219.16,191.93,-228.58
18463.05,220.52,191.93,-228.58
18463.05,220.52,193.29,-228.58
18543.56,222.22,193.29,-228.58
18543.56,222.22,194.99,-228.58
18614.67,223.03,194.99,-228.58
18614.67,223.03,195.8,-228.58
18722.08,227.53,195.8,-228.58
18722.08,227.53,200.3,-228.58
19023.9,249.81,200.3,-228.58
19023.9,249.81,222.58,-228.58
19082.78,259.57,222.58,-228.58
19082.78,259.57,232.34,-228.58
19211.34,272.05,232.34,-228.58
19211.34,272.05,244.82,-228.58
19332.96,275.92,244.82,-228.58
19332.96,275.92,248.69,-228.58
19648.71,277.96,248.69,-228.58
19648.71,277.96,250.73,-228.58
20167.49,278.26,250.73,-228.58
20167.49,278.26,251.03,-228.58
20636.34,284.33,251.03,-228.58
20636.34,284.33,257.1,-228.58
20781.22,272.9,257.1,-228.58
20781.22,272.9,257.1,-240.01
20877.48,277.45,257.1,-240.01
20877.48,277.45,261.65,-240.01
21064.37,282.17,261.65,-240.01
21064.37,282.17,266.37,-240.01
21623.37,288.01,266.37,-240.01
21623.37,288.01,272.21,-240.01
22081.62,307.08,272.21,-240.01
22081.62,307.08,291.28,-240.01
22209.8,303.54,291.28,-240.01
22209.8,303.54,291.28,-243.55
22333.56,306.17,291.28,-243.55
22333.56,306.17,293.91,-243.55
22605.62,281.01,293.91,-243.55
22605.62,281.01,293.91,-268.71
23219.44,277.45,293.91,-268.71
23219.44,277.45,293.91,-272.27
23552.77,282.05,293.91,-272.27
23552.77,282.05,298.51,-272.27
23820.26,299.03,298.51,-272.27
23820.26,299.03,315.49,-272.27
23983.04,309.54,315.49,-272.27
23983.04,309.54,326.0,-272.27
24122.96,302.44,326.0,-272.27
24122.96,302.44,326.0,-279.37
24827.3,300.34,326.0,-279.37
24827.3,300.34,326.0,-281.47
25148.69,302.42,326.0,-281.47
25148.69,302.42,328.08,-281.47
25295.52,301.96,328.08,-281.47
25295.52,301.96,328.08,-281.93
26637.87,279.22,328.08,-281.93
26637.87,279.22,328.08,-304.67
26745.88,280.01,328.08,-304.67
26745.88,280.01,328.87,-304.67
26889.37,282.75,328.87,-304.67
26889.37,282.75,331.61,-304.67
27357.68,280.6,331.61,-304.67
27357.68,280.6,331.61,-306.82
27524.46,282.31,331.61,-306.82
27524.46,282.31,333.32,-306.82
27844.29,282.17,333.32,-306.82
27844.29,282.17,333.32,-306.96
28492.78,277.87,333.32,-306.96
28492.78,277.87,333.32,-311.26
28885.51,273.08,333.32,-311.26
28885.51,273.08,333.32,-316.05
29010.81,273.66,333.32,-316.05
29010.81,273.66,333.9,-316.05
29083.55,274.07,333.9,-316.05
29083.55,274.07,334.31,-316.05
29422.88,276.78,334.31,-316.05
29422.88,276.78,337.02,-316.05
29588.99,278.7,337.02,-316.05
29588.99,278.7,338.94,-316.05
30074.15,281.75,338.94,-316.05
30074.15,281.75,341.99,-316.05
30143.21,278.91,341.99,-316.05
30143.21,278.91,341.99,-318.89
30297.56,277.0,341.99,-318.89
30297.56,277.0,341.99,-320.8
30464.17,279.87,341.99,-320.8
30464.17,279.87,344.86,-320.8
30579.81,276.92,344.86,-320.8
30579.81,276.92,344.86,-323.75
30731.04,274.22,344.86,-323.75
30731.04,274.22,344.86,-326.45
31006.9,279.28,344.86,-326.45
31006.9,279.28,349.92,-326.45
31675.79,292.86,349.92,-326.45
31675.79,292.86,363.5,-326.45
31979.29,300.19,363.5,-326.45
31979.29,300.19,370.83,-326.45
32090.62,303.29,370.83,-326.45
32090.62,303.29,373.93,-326.45
32600.92,292.09,373.93,-326.45
32600.92,292.09,373.93,-337.65
33267.17,277.26,373.93,-337.65
33267.17,277.26,373.93,-352.48
33615.55,279.16,373.93,-352.48
33615.55,279.16,375.83,-352.48
34243.47,277.47,375.83,-352.48
34243.47,277.47,375.83,-354.17
34868.74,272.13,375.83,-354.17
34868.74,272.13,375.83,-359.51
35399.71,275.33,375.83,-359.51
35399.71,275.33,379.03,-359.51
36763.53,278.0,379.03,-359.51
36763.53,278.0,381.7,-359.51
37382.5,246.53,381.7,-359.51
37382.5,246.53,381.7,-390.98
38010.24,229.75,381.7,-390.98
38010.24,229.75,381.7,-407.76
39111.78,227.72,381.7,-407.76
39111.78,227.72,381.7,-409.79
40107.29,241.77,381.7,-409.79
40107.29,241.77,395.75,-409.79
40984.05,250.86,395.75,-409.79
40984.05,250.86,404.84,-409.79
41232.1,256.53,404.84,-409.79
41232.1,256.53,410.51,-409.79
41575.62,257.26,410.51,-409.79
41575.62,257.26,411.24,-409.79
41917.54,240.34,411.24,-409.79
41917.54,240.34,411.24,-426.71
42088.89,243.38,411.24,-426.71
